width,height,noise_1,noise_1_coef,noise_2,noise_2_coef,noise_3,noise_3_coef
384.0,64.0,0.05,1.7568568388621009,0.1,1.8260798520512047,0.15,1.86115488593961
384.0,128.0,0.05,1.8731849061118226,0.1,1.9065393341912158,0.15,1.9227278085402502
384.0,192.0,0.05,1.9155636981681536,0.1,1.9353736329961702,0.15,1.937998077015818
384.0,256.0,0.05,1.9351897968186267,0.1,1.9477011428938966,0.15,1.9533987398500796
448.0,64.0,0.05,1.754816231273469,0.1,1.837999480111258,0.15,1.8623190582113922
384.0,320.0,0.05,1.94723818037245,0.1,1.950685448116726,0.15,1.9572766621907554
384.0,384.0,0.05,1.9523351280777537,0.1,1.9576668739318843,0.15,1.9579950183507349
448.0,128.0,0.05,1.8786044347853883,0.1,1.907227720533098,0.15,1.9192347450861855
384.0,448.0,0.05,1.957104508838956,0.1,1.9572307193090042,0.15,1.9611452832634066
448.0,192.0,0.05,1.9142553919837584,0.1,1.9352610149080787,0.15,1.9332206228212494
384.0,512.0,0.05,1.9583864344490893,0.1,1.9627397259076431,0.15,1.962525609098835
448.0,256.0,0.05,1.9363868804205027,0.1,1.943695261364891,0.15,1.9516898210717257
384.0,576.0,0.05,1.9592255721857514,0.1,1.9622773299982514,0.15,1.9667261748974543
448.0,320.0,0.05,1.9462135859898153,0.1,1.953373409452892,0.15,1.9546700533104953
384.0,640.0,0.05,1.959867477416992,0.1,1.96257922384474,0.15,1.9672053537251037
512.0,64.0,0.05,1.7554851869742072,0.1,1.8323309719562526,0.15,1.8588357501559787
448.0,384.0,0.05,1.9524738902137388,0.1,1.954271490611727,0.15,1.9580296107700894
512.0,128.0,0.05,1.8739848087231314,0.1,1.9039758791526156,0.15,1.9183361971819841
448.0,448.0,0.05,1.9549763932520028,0.1,1.960851870426515,0.15,1.9590059195336122
512.0,192.0,0.05,1.9149616360664363,0.1,1.9335000051392444,0.15,1.940969478936843
448.0,512.0,0.05,1.9576462961378547,0.1,1.9610779626028874,0.15,1.9647673955039373
512.0,256.0,0.05,1.9337290277083712,0.1,1.9433978945016857,0.15,1.9532601038614907
448.0,576.0,0.05,1.9580427300993093,0.1,1.9615627470470607,0.15,1.9660844303873413
512.0,320.0,0.05,1.9461001952489214,0.1,1.9500156243642168,0.15,1.953928382308395
576.0,64.0,0.05,1.7508373216346453,0.1,1.8299354447258838,0.15,1.8654326843136133
448.0,640.0,0.05,1.9611989884149457,0.1,1.9616054353259853,0.15,1.965220819705378
512.0,384.0,0.05,1.951194802920023,0.1,1.9572112295362678,0.15,1.9571483871083202
576.0,128.0,0.05,1.8737850365815334,0.1,1.9075698322719992,0.15,1.914216657724891
512.0,448.0,0.05,1.9538701999755128,0.1,1.9582839239211305,0.15,1.9628655973565643
576.0,192.0,0.05,1.9165807300143767,0.1,1.9302101782810537,0.15,1.938834537040386
512.0,512.0,0.05,1.9561618566513057,0.1,1.9598142554362612,0.15,1.9631182705914532
576.0,256.0,0.05,1.935279148596304,0.1,1.9453744093577061,0.15,1.946954373960142
576.0,320.0,0.05,1.9448467537208836,0.1,1.9502498485423896,0.15,1.9557221338091564
512.0,576.0,0.05,1.9596318403879796,0.1,1.9598766609474458,0.15,1.965813185452434
640.0,64.0,0.05,1.758750478426615,0.1,1.8265994389851885,0.15,1.8644802658646198
576.0,384.0,0.05,1.9499989203464834,0.1,1.9552882806754404,0.15,1.9600563415611068
512.0,640.0,0.05,1.9601162274678545,0.1,1.9626520077387488,0.15,1.9650701240256983
576.0,448.0,0.05,1.953068233671642,0.1,1.9574200665509256,0.15,1.9622701816457921
640.0,128.0,0.05,1.8719883759816485,0.1,1.9068743785222368,0.15,1.9110873893455225
640.0,192.0,0.05,1.9169727961222327,0.1,1.9290304183959959,0.15,1.9385293089313274
576.0,512.0,0.05,1.9579675462510846,0.1,1.9582406238273333,0.15,1.9644085762432084
640.0,256.0,0.05,1.9360792636871336,0.1,1.9421358903249102,0.15,1.9471401638454864
640.0,320.0,0.05,1.944967746734619,0.1,1.952792962392171,0.15,1.9519384878653068
576.0,576.0,0.05,1.9578937640405971,0.1,1.9614820127133965,0.15,1.9643166973321582
640.0,384.0,0.05,1.9491423500908742,0.1,1.9546715418497718,0.15,1.9594548072343991
576.0,640.0,0.05,1.9592334606029365,0.1,1.9617320873119208,0.15,1.9679140946502056
640.0,448.0,0.05,1.9547074181692936,0.1,1.9563366117931542,0.15,1.960588889147239
640.0,512.0,0.05,1.9567493597666419,0.1,1.959742705027262,0.15,1.9622029198540583
640.0,576.0,0.05,1.9580782784356008,0.1,1.9607123622187856,0.15,1.966634993690522
640.0,640.0,0.05,1.9606329600016272,0.1,1.9588313102722166,0.15,1.9690349720142506
