img_index,width,height,noise_std,noise_std_est,t_diff,max_rel_gain,rel_gain_synth_1,rel_error_synth_1,rel_gain_synth_2,rel_error_synth_2,rel_gain_synth_3,rel_error_synth_3,rel_gain_synth_4,rel_error_synth_4,rel_gain_synth_5,rel_error_synth_5,rel_gain_synth_6,rel_error_synth_6,rel_gain_synth_7,rel_error_synth_7,rel_gain_synth_8,rel_error_synth_8,rel_gain_synth_9,rel_error_synth_9,rel_gain_synth_10,rel_error_synth_10
4,640,427,0.1,0.101041072680611,0.8200000000000001,0.3566862400626385,0.3564965494903932,0.0001398190433747,0.3565577965889074,9.467441324174392e-05,0.3564965494903932,0.0001398190433747,0.3564252913360332,0.0001923427236892,0.3565577965889074,9.467441324174392e-05,0.3565577965889074,9.467441324174392e-05,0.3564252913360332,0.0001923427236892,0.3564252913360332,0.0001923427236892,0.3564252913360332,0.0001923427236892,0.3566082523496903,5.7483971345175326e-05
4,640,427,0.15,0.1520063559182938,1.46,0.5560347218105541,0.5519131800214164,0.0026487466708596,0.5556385833322078,0.0002545820300753,0.5559612752452793,4.7201109490236936e-05,0.5555502009668695,0.0003113817686027,0.5519131800214164,0.0026487466708596,0.5519131800214164,0.0026487466708596,0.5534411214428312,0.0016668010882848,0.5555502009668695,0.0003113817686027,0.5532728857904932,0.0017749192748393,0.5512191668357912,0.0030947606163696
5,640,427,0.05,0.05067291990761,0.79,0.2717838981705699,0.270687545170179,0.0008620591925781,0.2711466015930079,0.0005011044553077,0.2709144545657587,0.0006836409912579,0.271698847871935,6.687480377536927e-05,0.2704953765809149,0.0010131607983938,0.2700793255759845,0.0013403004999806,0.2713290244290095,0.0003576659070889,0.2717549796910237,2.2738516809180173e-05,0.2711897618616238,0.000467167660953,0.270292358964809,0.0011727929626302
5,640,427,0.1,0.1006927568960753,2.08,0.5058463949076122,0.5058212058118092,1.672753335807097e-05,0.5056549307822352,0.000127147181827,0.5057458024843524,6.680125117671049e-05,0.50582548946032,1.3882855092530952e-05,0.5057134845509682,8.826289128386736e-05,0.5055563272875203,0.0001926276286033,0.5058197230618977,1.7712195483367963e-05,0.5058387885249855,5.0512340782932345e-06,0.5058197230618977,1.7712195483367963e-05,0.5054316176616486,0.0002754445920688
5,640,427,0.15,0.1509375392633397,50.0,0.7049680982305749,0.7045290045366034,0.000257537777057,0.7047448780800687,0.0001309233590574,0.7047448780800687,0.0001309233590574,0.7047448780800687,0.0001309233590574,0.7043264700508548,0.0003763285544087,0.704248107668352,0.0004222897560195,0.7047448780800687,0.0001309233590574,0.7047448780800687,0.0001309233590574,0.7047448780800687,0.0001309233590574,0.7026756384679874,0.0013445763383882
6,640,427,0.05,0.050703681586088,0.88,0.2888753760671222,0.2884310841182146,0.0003447128847036,0.2871540305004195,0.0013355407347103,0.2868254661917775,0.0015904639916388,0.2883075675824265,0.000440545684431,0.2882147469603301,0.0005125624393631,0.287966640683352,0.0007050607069111,0.2888006204833762,5.800062995554519e-05,0.288453730575146,0.0003271421735612,0.2887490620907496,9.8003250522198e-05,0.2880943925979266,0.0006059418029839
6,640,427,0.1,0.1010572290913904,50.0,0.5303931096695271,0.5297386276157959,0.0004276561685987,0.5303002890105779,6.0651513890580384e-05,0.5301401514334287,0.0001652897118394,0.5286570245255168,0.0011344047049357,0.5302173520767589,0.0001148447360731,0.5303779618923995,9.897964798686254e-06,0.5286570245255168,0.0011344047049357,0.5286570245255168,0.0011344047049357,0.5286570245255168,0.0011344047049357,0.5303889535858046,2.7156968338856453e-06
6,640,427,0.15,0.1512842300650976,50.0,0.724279531724863,0.7242792521009486,1.6216855176215245e-07,0.7242792521009486,1.6216855176215245e-07,0.7242792521009486,1.6216855176215245e-07,0.7242792521009486,1.6216855176215245e-07,0.7242792521009486,1.6216855176215245e-07,0.7242792521009486,1.6216855176215245e-07,0.7242792521009486,1.6216855176215245e-07,0.7242792521009486,1.6216855176215245e-07,0.7242792521009486,1.6216855176215245e-07,0.7242792521009486,1.6216855176215245e-07
7,640,481,0.05,0.0522984768162014,0.35,0.1229880044511133,0.1024261438677138,0.0183099556735243,0.1072398819936733,0.0140234111094866,0.1095399561111288,0.0119752377466912,0.1072398819936733,0.0140234111094866,0.0999431203305054,0.0205210421030913,0.0999431203305054,0.0205210421030913,0.1024261438677138,0.0183099556735243,0.1072398819936733,0.0140234111094866,0.1024261438677138,0.0183099556735243,0.0999431203305054,0.0205210421030913
7,640,481,0.1,0.1017632262688603,0.61,0.2899812268926104,0.2809582477304397,0.0069946592819073,0.2818213548565833,0.006325574253265,0.2818213548565833,0.006325574253265,0.2809582477304397,0.0069946592819073,0.2818213548565833,0.006325574253265,0.2818213548565833,0.006325574253265,0.2809582477304397,0.0069946592819073,0.2809582477304397,0.0069946592819073,0.2809582477304397,0.0069946592819073,0.2818213548565833,0.006325574253265
7,640,481,0.15,0.1519158223464488,0.88,0.4554487694044248,0.454208539198058,0.0008521290700422,0.4528283990710955,0.0018003865119907,0.4521833270607835,0.0022435982717396,0.4525115491218314,0.0020180856546365,0.4539632156610143,0.0010206843240648,0.454208539198058,0.0008521290700422,0.4537014299421248,0.0012005503038179,0.4521833270607835,0.0022435982717396,0.4537014299421248,0.0012005503038179,0.4544361878854498,0.0006957177334309
8,427,640,0.05,0.0540096428746256,0.34,0.1065187300916107,0.08358600155683,0.0207251155458363,0.0882218252822142,0.0165355581535268,0.090493936092989,0.0144821714832563,0.0882218252822142,0.0165355581535268,0.08358600155683,0.0207251155458363,0.08358600155683,0.0207251155458363,0.08358600155683,0.0207251155458363,0.090493936092989,0.0144821714832563,0.08358600155683,0.0207251155458363,0.081247509371858,0.0228384934050419
8,427,640,0.1,0.1026851012711275,0.62,0.2749584618800539,0.2705671100066504,0.0034443097596513,0.2700886011822576,0.0038196230256907,0.2705671100066504,0.0034443097596513,0.2700886011822576,0.0038196230256907,0.2700886011822576,0.0038196230256907,0.2705671100066504,0.0034443097596513,0.2700886011822576,0.0038196230256907,0.2705671100066504,0.0034443097596513,0.2700886011822576,0.0038196230256907,0.2705671100066504,0.0034443097596513
8,427,640,0.15,0.1529553872633443,0.95,0.4554269811081257,0.4546886988853245,0.0005072616025292,0.45533015250506,6.652934453086683e-05,0.4554017800013171,1.7315267021755075e-05,0.455282846880785,9.903226284216936e-05,0.4548059135922884,0.000426725300478,0.4549112685292765,0.0003543376517979,0.4550054511078215,0.0002896263473027,0.4553696460324996,3.939398978463466e-05,0.4550054511078215,0.0002896263473027,0.4545588940115506,0.0005964484016327
9,480,640,0.05,0.0555838469064136,0.39,0.1158381967507456,0.0898124119700233,0.0233239773082762,0.0938944982661361,0.0196656634882263,0.0979514368702322,0.0160298867099178,0.0938944982661361,0.0196656634882263,0.0898124119700233,0.0233239773082762,0.0898124119700233,0.0233239773082762,0.091852884315847,0.0214953319439524,0.0959301233487221,0.0178413621795656,0.091852884315847,0.0214953319439524,0.0877791618695277,0.025146150188194
9,480,640,0.1,0.1035115090711186,0.6900000000000001,0.2910463464443867,0.2863648579764939,0.0036261196050675,0.2859372900864875,0.0039572989552,0.2863648579764939,0.0036261196050675,0.2859372900864875,0.0039572989552,0.2863648579764939,0.0036261196050675,0.2863648579764939,0.0036261196050675,0.2859372900864875,0.0039572989552,0.2863648579764939,0.0036261196050675,0.2859372900864875,0.0039572989552,0.2867847190197503,0.003300909712787
