img_index,width,height,noise_std,noise_std_est,avg_mass_loss,t_diff,max_rel_gain,rel_gain_synth_1,rel_error_synth_1,rel_gain_synth_2,rel_error_synth_2,rel_gain_synth_3,rel_error_synth_3,rel_gain_synth_4,rel_error_synth_4,rel_gain_synth_5,rel_error_synth_5,rel_gain_synth_6,rel_error_synth_6,rel_gain_synth_7,rel_error_synth_7,rel_gain_synth_8,rel_error_synth_8,rel_gain_synth_9,rel_error_synth_9,rel_gain_synth_10,rel_error_synth_10,rel_gain_synth_11,rel_error_synth_11,rel_gain_synth_12,rel_error_synth_12,rel_gain_synth_13,rel_error_synth_13,rel_gain_synth_14,rel_error_synth_14,rel_gain_synth_15,rel_error_synth_15,rel_gain_synth_16,rel_error_synth_16
7,600,450,0.1,0.10126447542693705,7.71604938271605e-08,0.112,0.38935894,0.35976598,0.02129973,0.3612332,0.02024368,0.35828757,0.02236382,0.35976598,0.02129973,0.35828757,0.02236382,0.35828757,0.02236382,0.35828757,0.02236382,0.35828757,0.02236382,0.35828757,0.02236382,0.35828757,0.02236382,0.35828757,0.02236382,0.35680005,0.02343446,0.37737247,0.00862734,0.3853734,0.00286862,0.35828757,0.02236382,0.3612332,0.02024368
7,600,450,0.15,0.15143258116636707,7.71604938271605e-08,0.176,0.56925005,0.53951794,0.01894671,0.5406109,0.01825021,0.5406109,0.01825021,0.5384152,0.01964943,0.5406109,0.01825021,0.5384152,0.01964943,0.5427769,0.01686997,0.53951794,0.01894671,0.5416995,0.0175565,0.5384152,0.01964943,0.53951794,0.01894671,0.53619194,0.02106618,0.5591691,0.00642405,0.5642449,0.00318952,0.53619194,0.02106618,0.53951794,0.01894671
8,280,419,0.05,0.0541412270842649,4.439424934651665e-08,0.054,0.17884766,0.13543326,0.03682783,0.13543326,0.03682783,0.13033122,0.04115582,0.13286734,0.03900446,0.13286734,0.03900446,0.13286734,0.03900446,0.13286734,0.03900446,0.13286734,0.03900446,0.13033122,0.04115582,0.13286734,0.03900446,0.13286734,0.03900446,0.13286734,0.03900446,0.15362704,0.0213943,0.16585952,0.01101766,0.13286734,0.03900446,0.13543326,0.03682783
8,280,419,0.1,0.10277079870527397,8.87884986930333e-08,0.107,0.37064856,0.35142243,0.01402704,0.35142243,0.01402704,0.34803164,0.0165009,0.35029647,0.01484853,0.3491716,0.01566919,0.35029647,0.01484853,0.3491716,0.01566919,0.35029647,0.01484853,0.3491716,0.01566919,0.3491716,0.01566919,0.3491716,0.01566919,0.34803164,0.0165009,0.36443636,0.00453231,0.36990184,0.00054481,0.3491716,0.01566919,0.35142243,0.01402704
8,280,419,0.15,0.1529826322280919,8.87884986930333e-08,0.177,0.56948775,0.55327153,0.01033214,0.5539687,0.00988795,0.5504112,0.01215462,0.5518518,0.01123674,0.55113196,0.01169538,0.5518518,0.01123674,0.5518518,0.01123674,0.5518518,0.01123674,0.5518518,0.01123674,0.5504112,0.01215462,0.55113196,0.01169538,0.548956,0.0130818,0.56629467,0.00203445,0.56942785,3.814087e-05,0.54968137,0.01261964,0.55256045,0.01078521
9,360,480,0.05,0.0542336453591973,6.028163580246914e-08,0.054,0.16491596,0.11113559,0.04616674,0.11398871,0.04371754,0.108302,0.04859919,0.11113559,0.04616674,0.11113559,0.04616674,0.11113559,0.04616674,0.11113559,0.04616674,0.11113559,0.04616674,0.108302,0.04859919,0.11113559,0.04616674,0.11113559,0.04616674,0.11113559,0.04616674,0.13135228,0.02881212,0.14265352,0.01911077,0.11113559,0.04616674,0.11398871,0.04371754
9,360,480,0.1,0.10315746252990331,6.028163580246914e-08,0.108,0.34911105,0.31680134,0.0239489,0.3181854,0.022923,0.31402338,0.02600799,0.31540856,0.02498125,0.31540856,0.02498125,0.31540856,0.02498125,0.31540856,0.02498125,0.31540856,0.02498125,0.31540856,0.02498125,0.31540856,0.02498125,0.31402338,0.02600799,0.31402338,0.02600799,0.33287826,0.01203221,0.341936,0.00531836,0.31402338,0.02600799,0.3181854,0.022923
9,360,480,0.15,0.1529983732121118,9.04224537037037e-08,0.17400000000000002,0.54084164,0.5157789,0.01626563,0.51664555,0.01570315,0.51403934,0.01739457,0.5149106,0.01682917,0.5149106,0.01682917,0.51403934,0.01739457,0.5157789,0.01626563,0.51403934,0.01739457,0.5157789,0.01626563,0.51403934,0.01739457,0.51403934,0.01739457,0.51229095,0.01852927,0.53183085,0.00584796,0.53723097,0.00234332,0.51229095,0.01852927,0.5157789,0.01626563
10,480,640,0.05,0.053295038422565874,6.781684027777778e-08,0.047,0.1548922,0.11452793,0.03495069,0.11452793,0.03495069,0.11452793,0.03495069,0.11452793,0.03495069,0.11452793,0.03495069,0.11452793,0.03495069,0.11452793,0.03495069,0.11452793,0.03495069,0.11452793,0.03495069,0.11452793,0.03495069,0.11452793,0.03495069,0.11452793,0.03495069,0.12333854,0.02732174,0.13738012,0.01516339,0.11452793,0.03495069,0.11452793,0.03495069
10,480,640,0.1,0.10263122878382462,6.781684027777778e-08,0.099,0.33514115,0.31465918,0.01534069,0.31345737,0.01624081,0.31345737,0.01624081,0.31465918,0.01534069,0.31465918,0.01534069,0.31465918,0.01534069,0.31465918,0.01534069,0.31465918,0.01534069,0.31465918,0.01534069,0.31345737,0.01624081,0.31345737,0.01624081,0.31345737,0.01624081,0.3216223,0.0101254,0.33118555,0.00296267,0.31345737,0.01624081,0.31345737,0.01624081
10,480,640,0.15,0.15204332709675958,6.781684027777778e-08,0.159,0.5251995,0.51564556,0.00626404,0.51564556,0.00626404,0.51677066,0.00552634,0.5150732,0.0066393,0.51677066,0.00552634,0.51564556,0.00626404,0.5173223,0.00516465,0.51621526,0.00589051,0.5173223,0.00516465,0.51564556,0.00626404,0.51621526,0.00589051,0.51448643,0.00702399,0.5208151,0.00287462,0.5245421,0.000431,0.51448643,0.00702399,0.5150732,0.0066393
11,406,610,0.05,0.05181684829447329,2.103017577862123e-08,0.059000000000000004,0.24568741,0.20188098,0.03516647,0.20188098,0.03516647,0.19908683,0.03740953,0.20188098,0.03516647,0.19908683,0.03740953,0.20188098,0.03516647,0.19908683,0.03740953,0.20188098,0.03516647,0.19908683,0.03740953,0.19908683,0.03740953,0.19908683,0.03740953,0.20188098,0.03516647,0.22618419,0.0156566,0.23932363,0.00510865,0.20188098,0.03516647,0.20188098,0.03516647
11,406,610,0.1,0.10165704620124141,6.309052733586369e-08,0.116,0.4327554,0.40062636,0.02242467,0.40062636,0.02242467,0.39753315,0.02458358,0.39908588,0.02349986,0.39908588,0.02349986,0.39908588,0.02349986,0.39908588,0.02349986,0.39908588,0.02349986,0.39908588,0.02349986,0.39753315,0.02458358,0.39753315,0.02458358,0.39753315,0.02458358,0.41924736,0.00942803,0.43144226,0.00091653,0.39753315,0.02458358,0.39908588,0.02349986
11,406,610,0.15,0.1516478047667294,6.309052733586369e-08,0.182,0.6171427,0.58642083,0.01899762,0.58752954,0.01831204,0.58642083,0.01899762,0.58530617,0.0196869,0.58752954,0.01831204,0.58530617,0.0196869,0.58863175,0.01763044,0.58530617,0.0196869,0.5897261,0.01695375,0.58530617,0.0196869,0.58530617,0.0196869,0.5819248,0.02177786,0.6056038,0.00713537,0.61501426,0.00131618,0.5819248,0.02177786,0.58530617,0.0196869
12,292,439,0.05,0.050769504855850425,8.126085645042178e-08,0.079,0.32477635,0.28695172,0.02855171,0.2886872,0.02724169,0.27999026,0.03380652,0.2852135,0.0298638,0.2817314,0.03249225,0.2852135,0.0298638,0.2817314,0.03249225,0.2852135,0.0298638,0.27999026,0.03380652,0.2817314,0.03249225,0.2817314,0.03249225,0.2817314,0.03249225,0.32169512,0.00232585,0.32377872,0.00075305,0.2834715,0.03117873,0.2886872,0.02724169
12,292,439,0.1,0.10122594671013303,8.126085645042178e-08,0.169,0.5692757,0.51635796,0.03372113,0.5188003,0.03216474,0.5065959,0.03994185,0.51391166,0.03527999,0.507811,0.03916755,0.512687,0.03606038,0.5090326,0.03838908,0.512687,0.03606038,0.507811,0.03916755,0.5090326,0.03838908,0.507811,0.03916755,0.5065959,0.03994185,0.56579775,0.00221626,0.5638688,0.00344546,0.507811,0.03916755,0.5175752,0.03294544
