img_index,width,height,noise_std,noise_std_est,avg_mass_loss,t_diff,max_rel_gain,rel_gain_synth_1,rel_error_synth_1,rel_gain_synth_2,rel_error_synth_2,rel_gain_synth_3,rel_error_synth_3,rel_gain_synth_4,rel_error_synth_4,rel_gain_synth_5,rel_error_synth_5,rel_gain_synth_6,rel_error_synth_6,rel_gain_synth_7,rel_error_synth_7,rel_gain_synth_8,rel_error_synth_8,rel_gain_synth_9,rel_error_synth_9,rel_gain_synth_10,rel_error_synth_10,rel_gain_synth_11,rel_error_synth_11,rel_gain_synth_12,rel_error_synth_12,rel_gain_synth_13,rel_error_synth_13,rel_gain_synth_14,rel_error_synth_14,rel_gain_synth_15,rel_error_synth_15,rel_gain_synth_16,rel_error_synth_16
8,280,419,0.15,0.15230728230688564,4.439424934651665e-08,0.20400000000000001,0.5697476,0.5537758,0.0101748,0.5537758,0.0101748,0.54804814,0.01382358,0.552651,0.01089133,0.54804814,0.01382358,0.5515128,0.01161642,0.54804814,0.01382358,0.5520868,0.01125076,0.546882,0.01456647,0.5497925,0.01271231,0.54920876,0.0130842,0.54747033,0.01419166,0.56864035,0.00070539,0.56967473,4.64402e-05,0.54863244,0.01345132,0.552651,0.01089133
9,360,480,0.05,0.05441116994616315,3.014081790123457e-08,0.056,0.16555378,0.1112433,0.04659629,0.11390212,0.04431512,0.10860471,0.0488601,0.1112433,0.04659629,0.10860471,0.0488601,0.1112433,0.04659629,0.10860471,0.0488601,0.1112433,0.04659629,0.10860471,0.0488601,0.1112433,0.04659629,0.10860471,0.0488601,0.1112433,0.04659629,0.132911,0.02800624,0.14094122,0.02111662,0.10860471,0.0488601,0.11390212,0.04431512
9,360,480,0.1,0.10337834617921099,6.028163580246914e-08,0.11900000000000001,0.34923,0.3157211,0.02483558,0.3157211,0.02483558,0.31093776,0.02838079,0.31452093,0.02572509,0.3121277,0.02749886,0.3133257,0.02661096,0.3121277,0.02749886,0.3133257,0.02661096,0.31093776,0.02838079,0.3133257,0.02661096,0.3121277,0.02749886,0.3121277,0.02749886,0.33434606,0.01103144,0.34042564,0.00652547,0.3121277,0.02749886,0.3157211,0.02483558
9,360,480,0.15,0.15263205430444587,6.028163580246914e-08,0.202,0.5388387,0.5122952,0.01724905,0.5129734,0.01680831,0.5068559,0.02078373,0.51093614,0.01813223,0.50753343,0.02034344,0.50957566,0.01901631,0.50753343,0.02034344,0.50957566,0.01901631,0.5061748,0.02122633,0.50753343,0.02034344,0.50753343,0.02034344,0.5061748,0.02122633,0.53171235,0.00463098,0.53366923,0.00335932,0.50753343,0.02034344,0.51161563,0.01769068
10,480,640,0.05,0.053399437069216,1.0172526041666667e-07,0.049,0.15596835,0.1162798,0.03433361,0.1162798,0.03433361,0.11350036,0.03673803,0.1162798,0.03433361,0.11350036,0.03673803,0.1162798,0.03433361,0.11350036,0.03673803,0.1162798,0.03433361,0.11350036,0.03673803,0.1162798,0.03433361,0.1162798,0.03433361,0.1162798,0.03433361,0.12740356,0.02471071,0.13807459,0.01547947,0.1162798,0.03433361,0.11350036,0.03673803
10,480,640,0.1,0.10213062668018956,6.781684027777778e-08,0.10400000000000001,0.33379444,0.31509522,0.01401957,0.31509522,0.01401957,0.3140679,0.01478979,0.31509522,0.01401957,0.3140679,0.01478979,0.31509522,0.01401957,0.3140679,0.01478979,0.31509522,0.01401957,0.3140679,0.01478979,0.3140679,0.01478979,0.3140679,0.01478979,0.3140679,0.01478979,0.32294196,0.00813655,0.32946616,0.00324509,0.3140679,0.01478979,0.3140679,0.01478979
10,480,640,0.15,0.15229593170435934,6.781684027777778e-08,0.189,0.5257259,0.5119428,0.0090338,0.5109393,0.00969151,0.50992596,0.01035569,0.5114456,0.00935968,0.50992596,0.01035569,0.5114456,0.00935968,0.50992596,0.01035569,0.5114456,0.00935968,0.5089058,0.01102432,0.5094206,0.01068691,0.5089058,0.01102432,0.50992596,0.01035569,0.5205785,0.00337374,0.5233362,0.00156629,0.50992596,0.01035569,0.50992596,0.01035569
11,406,610,0.05,0.0518273381230209,2.103017577862123e-08,0.061,0.2459951,0.20473684,0.03311269,0.20473684,0.03311269,0.19956234,0.0372656,0.20214586,0.03519214,0.20214586,0.03519214,0.20214586,0.03519214,0.20214586,0.03519214,0.20214586,0.03519214,0.19956234,0.0372656,0.20214586,0.03519214,0.20214586,0.03519214,0.20214586,0.03519214,0.22734657,0.01496677,0.23966148,0.00508317,0.20214586,0.03519214,0.20214586,0.03519214
11,406,610,0.1,0.1013689790015508,4.206035155724246e-08,0.125,0.43256432,0.40097108,0.02205362,0.40229338,0.02113059,0.39697826,0.02484081,0.40097108,0.02205362,0.39831305,0.02390906,0.3996454,0.02297903,0.39831305,0.02390906,0.3996454,0.02297903,0.39831305,0.02390906,0.39831305,0.02390906,0.39831305,0.02390906,0.39697826,0.02484081,0.42273358,0.00686235,0.43065798,0.00133072,0.39697826,0.02484081,0.40097108,0.02205362
11,406,610,0.15,0.15185484038736993,2.103017577862123e-08,0.22,0.61521465,0.5765253,0.02395308,0.5765253,0.02395308,0.570499,0.027684,0.574803,0.02501936,0.570499,0.027684,0.5739441,0.0255511,0.5713571,0.02715275,0.574803,0.02501936,0.5687794,0.02874864,0.570499,0.027684,0.5687794,0.02874864,0.570499,0.027684,0.60383344,0.00704625,0.6099105,0.00328387,0.570499,0.027684,0.574803,0.02501936
