img_index,width,height,noise_std,noise_std_est,avg_mass_loss,t_diff,max_rel_gain,psnr_start,rel_gain_synth_1,rel_error_synth_1,rel_gain_synth_2,rel_error_synth_2,rel_gain_synth_3,rel_error_synth_3,rel_gain_synth_4,rel_error_synth_4,rel_gain_synth_5,rel_error_synth_5,rel_gain_synth_6,rel_error_synth_6,rel_gain_synth_7,rel_error_synth_7,rel_gain_synth_8,rel_error_synth_8,rel_gain_synth_9,rel_error_synth_9,rel_gain_synth_10,rel_error_synth_10,rel_gain_synth_11,rel_error_synth_11,rel_gain_synth_12,rel_error_synth_12,rel_gain_synth_13,rel_error_synth_13,rel_gain_synth_14,rel_error_synth_14,rel_gain_synth_15,rel_error_synth_15,rel_gain_synth_16,rel_error_synth_16,rel_gain_synth_17,rel_error_synth_17
3,500,332,0.1,0.10104789924254555,0.0004971411577207911,0.112,0.5055677058348498,19.999538870432318,0.4966681393367653,0.005911103475183558,0.498316647716161,0.0048161620965880315,0.49493186908163267,0.007064336404133662,0.4966681393367653,0.005911103475183558,0.49493186908163267,0.007064336404133662,0.4958042936426257,0.006484870892478547,0.49493186908163267,0.007064336404133662,0.4966681393367653,0.005911103475183558,0.49403058411667855,0.007662971033092042,0.49493186908163267,0.007064336404133662,0.4958042936426257,0.006484870892478547,0.4958042936426257,0.006484870892478547,0.5055548476494526,8.540423222026397e-06,0.5007037431004807,0.003230650282626748,0.4958042936426257,0.006484870892478547,0.49909709061321816,0.004297790924018015,0.43488810568266,0.04694548101574575
3,500,332,0.15,0.1517133906493773,0.0008294083137873067,0.197,0.7391953714788976,16.463753295497384,0.7291166125336266,0.005795070013727479,0.7312013053547323,0.004596416397640052,0.7257751226948885,0.007716354932912074,0.7291166125336266,0.005795070013727479,0.7257751226948885,0.007716354932912074,0.7274681364581813,0.006742908366151084,0.7257751226948885,0.007716354932912074,0.7280255581259591,0.006422402874405251,0.7240392257536741,0.008714458406323677,0.7246237103344861,0.008378392320594027,0.7280255581259591,0.006422402874405251,0.7274681364581813,0.006742908366151084,0.7377281502917453,0.0008436206829969778,0.7305570390940378,0.004966855665855592,0.7280255581259591,0.006422402874405251,0.7331459694582736,0.0034782762878905276,0.5893040335843914,0.08618430128815743
4,640,427,0.05,0.051387841180480044,8.957449123431313e-05,0.056,0.3317378579256094,26.017222927898796,0.3041630933949096,0.020705850154062466,0.30934845561558727,0.016812169284499516,0.3041630933949096,0.020705850154062466,0.30677033174709345,0.018748078707777192,0.3041630933949096,0.020705850154062466,0.3041630933949096,0.020705850154062466,0.3041630933949096,0.020705850154062466,0.3041630933949096,0.020705850154062466,0.3041630933949096,0.020705850154062466,0.3041630933949096,0.020705850154062466,0.3041630933949096,0.020705850154062466,0.30677033174709345,0.018748078707777192,0.33074356392672777,0.0007466139022513043,0.3316592955360461,5.8992382844496435e-05,0.30677033174709345,0.018748078707777192,0.3118774847002986,0.014913125062199896,0.30107759912707815,0.023022743264420994
4,640,427,0.1,0.1013863315640585,0.00017475195939551326,0.11800000000000001,0.5383988831714519,19.99640338512235,0.521536619614334,0.010960917705787672,0.5259155592129718,0.00811449104327565,0.5192559404556161,0.012443419535232711,0.521536619614334,0.010960917705787672,0.5204102156429717,0.011693110106395831,0.5204102156429717,0.011693110106395831,0.5204102156429717,0.011693110106395831,0.5204102156429717,0.011693110106395831,0.521536619614334,0.010960917705787672,0.521536619614334,0.010960917705787672,0.521536619614334,0.010960917705787672,0.5226650874375847,0.010227383746815755,0.5383988831714519,0.0,0.534737123740814,0.002380240567445732,0.5226650874375847,0.010227383746815755,0.527981251455829,0.006771736400475469,0.4577635778554589,0.05241508310884955
4,640,427,0.15,0.1511878923031107,0.0002691462696177515,0.197,0.7511753257075969,16.49766690073878,0.7367563391188707,0.008233890905754921,0.7420584522379484,0.005206145458887502,0.7342552910482123,0.009662102024277707,0.7367563391188707,0.008233890905754921,0.7355126955991865,0.00894406738062139,0.7355126955991865,0.00894406738062139,0.7355126955991865,0.00894406738062139,0.7355126955991865,0.00894406738062139,0.7348907064404107,0.009299251210387013,0.7361406425411609,0.008585481388256154,0.7373752214033765,0.007880481241159676,0.7379806851428669,0.00753473417026274,0.7501000329962706,0.0006140405792274096,0.7441690322791805,0.004000909175433543,0.7373752214033765,0.007880481241159676,0.7436771068618672,0.004281820749558549,0.5998982436743645,0.0863860287502086
5,560,373,0.05,0.05057905648909794,0.0002899380675406411,0.07,0.34523717847120616,26.022033053340344,0.30706406456058455,0.028376493395761926,0.3091852312202274,0.02679969586623376,0.3049415435534127,0.029954297697590688,0.30706406456058455,0.028376493395761926,0.30282088540848306,0.031530717215924015,0.30706406456058455,0.028376493395761926,0.30282088540848306,0.031530717215924015,0.30706406456058455,0.028376493395761926,0.30282088540848306,0.031530717215924015,0.30282088540848306,0.031530717215924015,0.3049415435534127,0.029954297697590688,0.3049415435534127,0.029954297697590688,0.34100388165414675,0.0031468776545934885,0.3450864041418943,0.00011208010879036029,0.30706406456058455,0.028376493395761926,0.3113028806541057,0.025225512913391996,0.31051341941804667,0.025812369453408427
5,560,373,0.1,0.10111375546720808,0.0006260778369646604,0.161,0.5885012313471327,19.997956436655645,0.5316495371599252,0.03578951848781021,0.5353646786475537,0.0334507469374238,0.5255186614880203,0.039649053218359716,0.5316495371599252,0.03578951848781021,0.5255186614880203,0.039649053218359716,0.529186635669476,0.03733997462964185,0.5255186614880203,0.039649053218359716,0.5304192928145063,0.03656398710082832,0.5255186614880203,0.039649053218359716,0.5267366227425243,0.038882317108579624,0.5304192928145063,0.03656398710082832,0.5304192928145063,0.03656398710082832,0.5832025251899591,0.003335663865164328,0.5874580978863774,0.0006566777791357208,0.5316495371599252,0.03578951848781021,0.5403423901190065,0.030317157001688307,0.4934619214406276,0.05982954752002727
5,560,373,0.15,0.15203915113961586,0.0010722979300103414,0.298,0.8183450388844741,16.469458451819484,0.7255644366366714,0.05102475067367969,0.7314194835522506,0.04780476393278523,0.7165971884422738,0.05595629446907444,0.7255644366366714,0.05102475067367969,0.7165971884422738,0.05595629446907444,0.7214572305052387,0.05328351127389693,0.7165971884422738,0.05595629446907444,0.7230922992315589,0.05238430419748678,0.7133949051487436,0.05771739218433251,0.7149907361282009,0.05683976393153606,0.7247379461135209,0.05147927965771534,0.7230922992315589,0.05238430419748678,0.808332185445947,0.0055065750583122505,0.8183450388844741,0.0,0.7247379461135209,0.05147927965771534,0.7408498191842794,0.04261854490924163,0.6401891794589644,0.09797692715943809
6,640,427,0.05,0.05060234669783617,2.2320220132282768e-06,0.063,0.41966984943158075,26.017222927898796,0.402778004319156,0.011898431962324232,0.4114752006184477,0.005772221489675302,0.39905096282007174,0.014523719454748316,0.40460271642586554,0.010613124601996687,0.4009238110086767,0.013204505561916246,0.4009238110086767,0.013204505561916246,0.4009238110086767,0.013204505561916246,0.4009238110086767,0.013204505561916246,0.402778004319156,0.011898431962324232,0.40460271642586554,0.010613124601996687,0.402778004319156,0.011898431962324232,0.40460271642586554,0.010613124601996687,0.4159666931445693,0.0026084630088426494,0.404432575881599,0.010732969750736511,0.40460271642586554,0.010613124601996687,0.4130261881603448,0.004679722735462757,0.33191443672035326,0.06181395818637959
6,640,427,0.1,0.10090061050817682,7.141915136408577e-06,0.153,0.6922593148403049,19.99640338512235,0.6674398570110639,0.014666462528281734,0.6810225445363295,0.0066400995435122664,0.6608639251429719,0.018552351535022125,0.66837231026321,0.014115451673166966,0.6636847278916264,0.016885465896445746,0.6636847278916264,0.016885465896445746,0.6646193570761917,0.016333169226326057,0.6636847278916264,0.016885465896445746,0.6655623949115664,0.015775903665956673,0.66837231026321,0.014115451673166966,0.66837231026321,0.014115451673166966,0.6702421402582776,0.01301052054430861,0.6824580983302415,0.005791793505942885,0.6578125705860203,0.020355476227669853,0.6702421402582776,0.01301052054430861,0.6842515147249939,0.004732017159005414,0.5098916247252039,0.10776580664430302
